Gene,p-value,Adjusted p-value
CCDC134,1.576534319989918e-06,0.029884784569728887
GRINA,2.1760701163336457e-06,0.04124958512522059
ACOT11,2.0550261119863476e-06,0.0389550749788132
ZNF707,2.326989580999549e-06,0.044110414497427454
BSG,6.729791657639898e-07,0.01275699306622219
DERL1,5.713083523813799e-07,0.010829721127741438
