Gene,p-value,Adjusted p-value
GRINA,2.1760701163336457e-06,0.04124958512522059
ZNF707,1.5503037386701344e-06,0.029387557670231067
BSG,2.0979499367645698e-06,0.039768739001309186
DERL1,1.8009237757071265e-06,0.034138311092304294
